ADJ,ADP,ADV,AUX,CCONJ,DET,INTJ,NOUN,NUM,PART,PRON,PROPN,PUNCT,SCONJ,VERB,X,CONJ,SYM,SPACE
411,731,987,276,387,928,2,1311,221,127,822,608,1189,107,744,56,0,0,0
371,925,1457,626,458,1136,6,1984,161,215,1604,1136,2310,151,1134,195,0,0,0
263,437,776,381,219,659,5,1010,88,134,962,635,1366,101,655,58,0,0,0
634,1079,2420,1432,502,1895,15,2955,168,573,3283,1048,4679,462,2166,173,0,0,0
564,1006,2206,1068,548,1902,8,3019,214,361,2109,1092,3445,247,1711,165,0,0,0
959,1731,3030,1473,1100,2733,14,4399,251,671,3910,1804,5453,580,2931,219,0,0,0
73,226,621,264,135,282,8,549,40,109,818,157,1193,102,399,65,0,0,0
10,25,56,17,17,39,2,59,2,10,53,18,89,8,43,0,0,0,0
368,692,1837,1016,414,1145,1,1631,150,338,2130,575,3038,355,1351,52,0,0,0
752,1486,3823,2158,753,2518,6,3540,166,783,4642,1217,6070,728,3026,127,0,0,0
471,856,2551,995,533,1543,9,2658,298,460,2531,1713,3879,271,1808,280,0,0,0
902,2008,2309,1764,864,2916,7,4461,247,474,2967,1253,4003,521,2617,107,0,0,0
700,2026,2916,1086,885,2888,5,5174,470,568,3467,3478,6558,568,3062,398,0,0,0
134,312,866,204,216,426,1,663,39,143,795,461,831,125,614,67,0,0,0
113,323,723,211,226,466,5,723,61,107,839,539,875,98,584,75,0,0,0
649,1216,2705,1294,558,1999,9,3094,230,532,3123,1265,3762,345,2334,187,0,0,0
588,1084,3596,1103,473,1580,64,3510,261,265,3359,2476,6004,464,2561,742,0,0,0
361,612,1834,656,419,942,19,1542,119,264,1738,529,2510,226,1316,69,0,0,0
4,17,55,19,12,31,0,53,10,11,68,27,94,13,51,8,0,0,0
376,551,1438,559,327,990,4,1843,127,230,1509,1187,2816,200,1211,141,0,0,0
1100,1860,2823,1208,941,3525,3,5301,592,536,3556,3077,5023,340,3183,295,0,0,0
490,793,3192,500,119,649,210,2213,210,167,1500,2502,5950,333,1363,991,0,0,0
804,1275,2527,551,675,1963,3,3202,392,360,2291,1993,3433,301,1899,200,0,0,0
210,816,3014,1106,424,950,74,1632,242,437,2900,1337,4214,313,1603,282,0,0,0
718,1880,5050,2013,836,2217,57,3762,324,864,4716,1625,6865,632,2813,401,0,0,0
541,1093,3220,1374,588,1739,48,2843,285,428,3187,1251,4437,372,2046,102,0,0,0
250,519,1422,668,368,865,15,1453,133,189,1469,717,1895,181,1222,106,0,0,0
646,1205,3460,1528,756,1811,22,2724,210,490,3302,973,4479,544,2284,132,0,0,0
2345,3806,9146,3346,2213,5947,29,9268,795,1313,7977,4222,11448,1176,6136,511,0,0,0
532,1056,1783,671,520,1752,1,2713,310,271,2077,1838,2917,275,1715,127,0,0,0
443,667,1223,337,248,1245,2,2348,229,180,1057,1584,2368,68,1200,153,0,0,0
542,1107,3064,1258,514,1732,3,2933,222,534,3164,1124,4437,441,2307,173,0,0,0
176,384,728,197,143,491,7,1056,82,104,837,865,1609,55,615,78,0,0,0
165,315,663,375,187,574,2,1023,65,83,798,518,1249,63,628,60,0,0,0
425,1063,4068,1413,814,1533,113,2774,327,494,4262,1652,5636,670,2442,567,0,0,0
1093,2045,3286,1003,1029,3189,7,5833,906,484,2985,4867,6856,313,2798,306,0,0,0
281,983,2831,566,497,806,46,1897,145,58,1778,2129,3658,366,1596,984,0,0,0
1648,3305,6609,2502,1163,4813,18,7355,311,852,7787,2308,7726,948,5626,250,0,0,0
451,1155,1933,480,427,1812,4,2911,336,386,1858,2344,3527,153,1570,213,0,0,0
796,1628,2756,1868,852,2695,18,3870,130,683,4171,1170,5267,567,3014,164,0,0,0
1551,2553,3305,1686,1143,4122,9,6647,294,801,4146,2243,7100,579,3589,202,0,0,0
1008,1232,2157,1170,519,2551,4,3269,62,610,3734,450,4611,331,2720,48,0,0,0
180,341,690,164,167,512,2,1045,102,96,678,1135,1424,56,598,115,0,0,0
513,910,2292,537,435,1220,27,2640,291,245,1609,2019,3791,148,1455,181,0,0,0
623,1225,2824,1917,807,2372,14,3169,104,737,4354,540,3969,772,2674,55,0,0,0
294,503,1155,509,278,837,6,1226,72,230,1557,424,1804,229,1122,79,0,0,0
692,1911,3218,947,1078,2414,6,4370,391,471,3385,3326,5531,360,2725,260,0,0,0
206,332,706,252,218,651,3,955,107,118,862,689,961,87,688,69,0,0,0
389,796,2412,935,457,1322,16,2300,263,341,2313,1586,3471,225,1610,238,0,0,0
196,301,652,135,148,465,5,802,93,108,430,518,1036,70,489,43,0,0,0
113,424,1047,359,241,563,2,852,102,179,1255,691,1466,226,816,113,0,0,0
392,1138,2185,1062,649,1534,4,2295,91,556,2908,529,3411,610,2163,78,0,0,0
379,1481,2210,1200,867,2085,5,3010,85,586,3971,794,4271,786,3016,102,0,0,0
681,2212,4922,1212,1165,2956,7,4748,613,742,5659,3696,7483,899,4011,435,0,0,0
203,710,1824,541,423,1000,0,1540,218,287,2016,1324,2442,268,1371,221,0,0,0
756,990,1723,440,677,1568,1,2648,259,150,1271,1706,2735,152,1387,169,0,0,0
524,1810,2247,1069,887,2567,3,3722,448,415,3360,2377,4280,357,2463,271,0,0,0
461,943,2308,1150,656,1594,35,2473,117,439,2757,845,4048,401,1909,172,0,0,0
197,378,765,342,223,530,7,945,69,109,860,578,1506,117,669,193,0,0,0
618,1289,2723,1585,699,1905,10,3388,249,447,3252,1415,4962,346,2239,170,0,0,0
