name,id,firstAuthor,numOfCoAuthors,title,subtitle,normalizedGenre,yearNormalized,size,libretto,averageClustering,density,averagePathLength,maxDegreeIds,averageDegree,diameter,yearPremiered,yearPrinted,maxDegree,numOfSpeakers,numOfSpeakersFemale,numOfSpeakersMale,numOfSpeakersUnknown,numPersonGroups,numConnectedComponents,yearWritten,numOfSegments,wikipediaLinkCount,numOfActs,wordCountText,wordCountSp,wordCountStage,numOfP,numOfL
"goldoni-la-sposa-persiana","ita000086","Goldoni","0","La sposa persiana","","","1753","9","false","0.8746031746031746","0.75","1.25","fatima|tamas","6","2","1753","","8","9","4","5","0","","1","1753","51","0","5","20129","16730","689","0","2110"
"goldoni-le-baruffe-chiozzotte","ita000087","Goldoni","0","Le baruffe chiozzotte","","","1762","15","false","0.9343101343101343","0.8761904761904762","1.1238095238095238","several characters","12.266666666666667","2","1762","","14","15","5","10","0","","1","1761","55","0","3","17889","15882","1650","1586","0"
"goldoni-le-femmine-puntigliose","ita000088","Goldoni","0","Le femmine puntigliose","","","1750","14","false","0.6787775716347143","0.5494505494505495","1.5384615384615385","rosaura","7.142857142857143","4","1750","","11","14","4","10","0","","1","1750","55","0","3","25277","19951","2046","1378","0"
"goldoni-le-smanie-per-la-villeggiatura","ita000089","Goldoni","0","Le smanie per la villeggiatura","","","1761","11","false","0.8647186147186147","0.7272727272727273","1.2727272727272727","leonardo|vittoria","7.2727272727272725","2","1761","","10","11","3","8","0","","1","1761","41","0","3","19016","18253","423","1184","0"
"goldoni-una-delle-ultime-sere-di-carnovale","ita000090","Goldoni","0","Una delle ultime sere di carnovale","","","1762","15","false","0.946053946053946","0.7714285714285715","1.2285714285714286","zamaria","10.8","2","1762","","14","15","6","9","0","","1","1761","38","0","3","22711","20639","1880","1680","4"
"guarini-la-idropica","ita000091","Guarini","0","La idropica","","","1584","18","false","0.6792667209333876","0.35947712418300654","1.7124183006535947","patrizio|moschetta|grillo","6.111111111111111","3","1608","1613","13","18","5","13","0","","1","1584","50","0","5","37307","35743","149","1460","17"
"guidi-endimione","ita000092","Guidi","0","Endimione","","","1691","5","false","0.9","0.9","1.1","amore|cintia|endimione","3.6","2","1691","1692","4","5","2","2","1","","1","1688","5","0","5","8005","6981","0","0","1215"
"leopardi-telesilla","ita000093","Leopardi","0","Telesilla","","","1821","9","false","0.9523809523809523","0.6666666666666666","1.3333333333333333","girone","5.333333333333333","2","","","8","9","3","6","0","","1","1821","2","0","0","6549","3780","18","0","558"
"machiavelli-clizia","ita000094","Machiavelli","0","Clizia","","","1525","9","false","0.6375661375661376","0.5555555555555556","1.5","nicomaco","4.444444444444445","3","1525","1537","7","9","2","7","0","","1","","33","0","5","13623","12301","185","459","0"
"machiavelli-mandragola","ita000095","Machiavelli","0","Mandragola","","","1518","8","false","0.7773809523809523","0.7142857142857143","1.2857142857142858","timoteo","5","2","1518","1524","7","8","3","5","0","","1","1518","37","0","5","13456","12323","342","552","0"
"maffei-merope","ita000096","Maffei","0","Merope","","","1713","7","false","0.8857142857142858","0.8095238095238095","1.1904761904761905","egisto|merope|ismene","4.857142857142857","2","1713","1714","6","7","2","5","0","","1","1713","31","0","5","15482","15301","127","0","2188"
"manzoni-adelchi","ita000097","Manzoni","0","Adelchi","","","1822","36","false","0.8190477006653478","0.1761904761904762","2.425396825396825","adelchi","6.166666666666667","4","1843","1822","17","36","5","31","0","","1","1820/1821","39","0","5","16899","15606","493","0","2360"
